id,is_summer_release,is_holiday_release,is_spring_release,is_action,is_adventure,is_animation,is_comedy,is_crime,is_documentary,is_drama,is_family,is_fantasy,is_history,is_horror,is_music,is_mystery,is_romance,is_science_fiction,is_thriller,is_war,is_western,is_english,is_korean,is_non_english,is_adult,has_overview,has_poster,has_backdrop,popularity_scaled,vote_count_scaled,release_year_scaled,release_month_scaled,release_quarter_scaled,movie_age_scaled,primary_genre_scaled,genre_count_scaled,log_popularity_scaled,log_vote_count_scaled,vote_efficiency_scaled,title_length_scaled,title_word_count_scaled,overview_length_scaled,backdrop_path_encoded,genre_ids_encoded,original_language_encoded,original_title_encoded,overview_encoded,poster_path_encoded,title_encoded,rating_tier_encoded,popularity_tier_encoded,vote_average
9806,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,-0.21347049930375311,1.5590701600863128,-0.8406133798290856,1.6470078300178583,1.3485874489915786,0.8406133798290911,-0.37201763014627454,1.2407750672034532,-0.21765862972890893,1.0065064455897308,1.5594277955169047,-0.6502160866216969,-1.0807751802776335,0.3821267965709997,711,232,3,672,319,0,647,1,2,7.714
753342,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,-0.29818045323111775,-0.5597225647173021,0.7114854938329075,1.6470078300178583,1.3485874489915786,-0.7114854938329023,-0.36963081556643557,0.21503701350050586,-0.7342950026330561,0.14653939885118253,-0.42074485416375584,-0.8419492268751031,-1.0807751802776335,-0.9017766350403217,51,335,3,432,752,296,157,3,4,6.3
1064486,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,-0.20861636183402796,-0.8640260854593814,0.874864322639433,-0.7768007645392536,-0.4949987648022728,-0.8748643226394278,-0.37559785201603296,0.21503701350050586,-0.19282743430239532,-0.5631676017198426,-0.8908188004418605,-0.07501666586147855,-0.3051907387590099,0.17670224751318828,508,133,3,405,11,777,190,0,2,8.059
377,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,-0.28996111781225276,-0.2037344314604464,-2.3927122534910787,-1.0797768388588926,-1.4167918716991985,2.392712253491084,-0.3723159819687544,-1.8364390939053885,-0.6755986655483862,0.4467789950585123,0.04648722978694258,-0.6502160866216969,-1.0807751802776335,4.715300878259209,417,225,3,19,509,789,153,1,1,7.3
408,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,-0.31073231070596036,0.11659961081028014,-4.7617052711857,1.3440317556982193,1.3485874489915786,4.761705271185706,-0.3761945556609927,0.21503701350050586,-0.8286198234041826,0.6118156539846831,0.6430015101174378,0.691915895152146,0.4703937027596137,0.6003903799449243,801,87,3,557,453,815,372,1,4,7.122
19995,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0.09665905906171363,3.53538471509652,-0.43216630781277166,1.6470078300178583,1.3485874489915786,0.43216630781277704,-0.37201763014627454,1.2407750672034532,0.8705885719344083,1.2742651461722485,1.2171760957838236,-1.0336823671285091,-1.0807751802776335,0.36928776225488646,762,230,3,57,125,535,520,1,3,7.6
7485,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,-0.2475117440292915,-0.24035588150433876,-0.5955451366192972,-0.7768007645392536,-0.4949987648022728,0.5955451366193026,-0.3750011483710732,0.21503701350050586,-0.4044236224619217,0.42350971223842904,-0.16431032582301172,-0.6502160866216969,-0.3051907387590099,0.3821267965709997,749,170,3,537,550,350,213,1,2,7.121
4935,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,-0.1921407107990547,0.49304047843127197,-0.8406133798290856,1.6470078300178583,1.3485874489915786,0.8406133798290911,-0.3761945556609927,0.21503701350050586,-0.11149089532056092,0.7513599143501953,0.3824708046569359,0.3084496146453337,0.4703937027596137,0.43990245099350916,596,88,10,823,60,64,840,0,0,8.397
1326106,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1.3314161670583096,-0.9408620334760008,0.874864322639433,-0.47382469021961465,-0.4949987648022728,-0.8748643226394278,-0.37559785201603296,0.21503701350050586,2.543721338305333,-1.7663398879945484,-0.9721518328255807,0.691915895152146,1.2459781442782372,0.24089741909375434,479,139,10,818,159,880,112,1,3,7.767
1425045,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0.4970689568550878,-0.8923558864367321,0.874864322639433,0.13212745841966334,0.42679434209465283,-0.8748643226394278,-0.3645588345842778,-0.8107010402024414,1.6357452316928383,-0.7556776942561999,-0.957139336167861,-1.2254155073819153,-1.0807751802776335,-1.1457182870464728,303,355,2,98,318,745,404,3,3,5.788
27578,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,-0.32775293306872955,0.1530828667030635,-0.3504768934095088,0.4351035327393023,0.42679434209465283,0.35047689340951427,-0.3645588345842778,0.21503701350050586,-0.9668260191223893,0.6273476009985369,0.8600486028431776,-0.6502160866216969,-1.0807751802776335,1.8457767086079062,700,342,3,636,308,808,634,3,4,6.247
343668,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,-0.2806849272826978,0.5293855401729463,0.22134900741333072,0.7380796070589413,0.42679434209465283,-0.2213490074133254,-0.37201763014627454,1.2407750672034532,-0.6120059280289567,0.7628386922662872,0.9682138092565817,0.3084496146453337,0.4703937027596137,0.18954128182930147,386,236,3,342,672,389,747,1,1,6.955
298618,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,-0.10607806018305374,-0.3076564330944353,0.7114854938329075,-0.1708486158999757,-0.4949987648022728,-0.7114854938329023,-0.3767912593059524,0.21503701350050586,0.2536779231293445,0.3774163283574401,-0.5015696550949738,-1.0336823671285091,-1.0807751802776335,1.1332103040636228,842,69,3,643,428,800,832,1,0,6.645
1330435,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,-0.2652875409462922,-0.9452842463114898,0.874864322639433,0.13212745841966334,0.42679434209465283,-0.8748643226394278,-0.37201763014627454,0.21503701350050586,-0.5120691034431039,-2.364662440483822,-0.9712318700056507,-0.45848294636829084,-0.3051907387590099,-1.5629869023201521,480,270,10,820,0,321,105,1,1,7.3
671,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0.26799220554224085,2.9823317223581904,-1.085681623038874,1.6470078300178583,1.3485874489915786,1.0856816230388795,-0.3767912593059524,-0.8107010402024414,1.246511450501104,1.2136227084650288,0.5206910719560858,0.8836490354055522,1.2459781442782372,1.1203712697475094,322,55,3,266,780,752,842,1,3,7.902
863,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,-0.13157493301922027,1.02494976604992,-1.2490604518453996,1.6470078300178583,1.3485874489915786,1.2490604518454052,-0.37559785201603296,0.21503701350050586,0.15445775698992006,0.8961244232273967,0.5812026631560768,-0.07501666586147855,0.4703937027596137,0.42706341667739595,718,146,3,752,465,407,768,1,0,7.6
1155281,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,-0.2613462304506252,-0.9394800919649106,0.874864322639433,-1.6857289874981707,-1.4167918716991985,-0.8748643226394278,-0.37201763014627454,0.21503701350050586,-0.4875250943725601,-1.6720316293576298,-0.9642381136020688,0.3084496146453337,-1.0807751802776335,-1.5629869023201521,857,246,25,839,0,106,86,3,1,6.3
